URL,Total_Articles,Articles_With_Statterms,Percentage_With_Statterms
humanconnectome.org,847,145,17.12
db.humanconnectome.org,200,27,13.5
humanconnectome.org/study/hcp-young-adult,270,54,20.0
humanconnectome.org/study/hcp-young-adult/document/1200-subjects-data-release,42,8,19.05
humanconnectome.org/study/hcp-young-adult/data-use-terms,134,30,22.39
protocols.humanconnectome.org/hcp/7t,5,3,60.0
wiki.humanconnectome.org/display/publicdata/how+to+connect+to+connectome+data+via+aws,0,0,0.0
humanconnectome.org/data,804,142,17.66
humanconnectome.org/disease-studies,428,68,15.89
humanconnectome.org/study/hcp-lifespan-aging,88,17,19.32
humanconnectome.org/study/hcp-lifespan-aging/data-releases,58,13,22.41
humanconnectome.org/study/hcp-lifespan-aging/page/recruitment,4,4,100.0
humanconnectome.org/study/hcp-young-adult/data-releases,185,42,22.7
humanconnectome.org/study/hcp-young-adult/document/500-subjects-data-release,25,7,28.0
humanconnectome.org/study/hcp-young-adult/document/extensively-processed-fmri-data-documentation,8,3,37.5
