Material_URL,Number of articles containing URL,Percentage of articles containing URL
surfer.nmr.mgh.harvard.edu,48,15.6
humanconnectome.org,28,9.1
db.humanconnectome.org,22,7.1
clinicaltrials.gov,20,6.5
adni.loni.usc.edu,17,5.5
neurosynth.org,12,3.9
humanconnectome.org/study/hcp-young-adult,12,3.9
humanconnectome.org/study/hcp-young-adult/document/1200-subjects-data-release,10,3.2
ﬁl.ion.ucl.ac.uk,9,2.9
abcdstudy.org,8,2.6
brain-development.org/ixi-dataset,7,2.3
coins.trendscenter.org,5,1.6
itksnap.org/pmwiki/pmwiki.php,5,1.6
nda.nih.gov/abcd,4,1.3
neurovault.org,4,1.3
